,Residuals
2019-07-11,1.9076752961224042
2019-07-12,1.894816768715219
2019-07-15,1.8956868591084834
2019-07-16,1.8957072641527444
2019-07-17,1.8963148886398074
2019-07-18,1.904016943586413
2019-07-19,1.889201886353363
2019-07-22,1.8959465534544724
2019-07-23,1.8925857075792738
2019-07-24,1.8966738397942544
2019-07-25,1.881223174258487
2019-07-26,1.885895823483568
2019-07-29,1.892754001489593
2019-07-30,1.8859015879843803
2019-07-31,1.8757682943584344
2019-08-01,1.8818465042074748
2019-08-02,1.8873995106634398
2019-08-05,1.8607843186815156
2019-08-06,1.8875221088276133
2019-08-07,1.890362417569869
2019-08-08,1.9008779006471959
2019-08-09,1.8953693524599107
2019-08-12,1.8736214624861267
2019-08-13,1.8914180579823738
2019-08-14,1.859151501411656
2019-08-15,1.8542053618804717
2019-08-16,1.8673261764912565
2019-08-19,1.8644113289894744
2019-08-20,1.8635856617328335
2019-08-21,1.8849253352593003
2019-08-22,1.8687564522762985
2019-08-23,1.8468760780974196
2019-08-26,1.8409036314738034
2019-08-27,1.855597007995906
2019-08-28,1.86542452837927
2019-08-29,1.8873097311442821
2019-08-30,1.8870179497667339
2019-09-02,1.8781993934847065
2019-09-03,1.868357468110868
2019-09-04,1.8854072793623646
2019-09-05,1.8921065378287216
2019-09-06,1.8948412426317955
2019-09-09,1.8936548973885703
2019-09-10,1.8897870760269475
2019-09-11,1.892739354025891
2019-09-12,1.8996787786053337
2019-09-13,1.8878253454297518
2019-09-16,1.890055188587409
2019-09-17,1.8982136394033104
2019-09-18,1.8944017502655948
2019-09-19,1.891358628187036
2019-09-20,1.895516290019951
2019-09-23,1.8920422874529397
2019-09-24,1.884226933198367
2019-09-25,1.8914140716931094
2019-09-26,1.8980756081995547
2019-09-27,1.8930534822013567
2019-09-30,1.8892554189378852
2019-10-01,1.8828442052456729
2019-10-02,1.8548988118385954
2019-10-03,1.8678330832773673
2019-10-04,1.8796565559178848
2019-10-07,1.8586484580886484
2019-10-08,1.8576931102622352
2019-10-09,1.8737192724249625
2019-10-10,1.8776641679434878
2019-10-11,1.8956417796968803
2019-10-14,1.8945025881341344
2019-10-15,1.8930014849333086
2019-10-16,1.8997682879656512
2019-10-17,1.8923018817366595
2019-10-18,1.8888434234340927
2019-10-21,1.9010372890845533
2019-10-22,1.91011514731112
2019-10-23,1.9066474873432968
2019-10-24,1.898735004568353
2019-10-25,1.9019423575990189
2019-10-28,1.9078996806743076
2019-10-29,1.8989794471903068
2019-10-30,1.9068295090084781
2019-10-31,1.8931563935597646
2019-11-01,1.9037765467933672
2019-11-04,1.9068427520210678
2019-11-05,1.9037976789399105
2019-11-06,1.899339076280584
2019-11-07,1.9105233664353842
2019-11-08,1.8891809035156708
2019-11-11,1.8992380439116032
2019-11-12,1.883088939065436
2019-11-13,1.8800754425905906
2019-11-14,1.887529869585963
2019-11-18,1.8847033805225788
2019-11-19,1.8817451100137657
2019-11-21,1.8984156505150036
2019-11-22,1.9059909007982512
2019-11-25,1.8994217811172893
2019-11-26,1.885665980223278
2019-11-27,1.8941998590838542
2019-11-28,1.898567090830365
2019-11-29,1.8962046814467888
2019-12-02,1.9019071673880377
2019-12-03,1.8999528614610277
2019-12-04,1.9111064991434343
2019-12-05,1.9100199901468806
2019-12-06,1.9120121144702429
2019-12-09,1.908009121033083
2019-12-10,1.904104065461075
2019-12-11,1.906495522395773
2019-12-12,1.916335016827917
2019-12-13,1.9158603442262034
2019-12-16,1.9073146497887032
2019-12-17,1.913795430708344
2019-12-18,1.9265373211463874
2019-12-19,1.928503346182429
2019-12-20,1.9241755752650427
2019-12-23,1.9283414614896115
2019-12-26,1.9365198475989889
2019-12-27,1.9258469333647046
2019-12-30,1.9171579901646112
2020-01-02,1.9429228576979267
2020-01-03,1.9286006387454475
2020-01-06,1.9204867471116058
2020-01-07,1.9192267634703764
2020-01-08,1.9157147997424415
2020-01-09,1.9136599729696009
2020-01-10,1.9103483229544413
2020-01-13,1.9269412198304918
2020-01-14,1.9255556592084737
2020-01-15,1.9128508066540348
2020-01-16,1.9167775713247552
2020-01-17,1.9312437529042885
2020-01-20,1.930024572866559
2020-01-21,1.911705817073131
2020-01-22,1.9258421783095914
2020-01-23,1.932676842177826
2020-01-24,1.9192741578923362
2020-01-27,1.8865890018342184
2020-01-28,1.9124222696100288
2020-01-29,1.9012157272320267
2020-01-30,1.9046863024745182
2020-01-31,1.8897177354491275
2020-02-03,1.9016719399620001
2020-02-04,1.9093537566117882
2020-02-05,1.911473063877346
2020-02-06,1.9025205626096535
2020-02-07,1.891295524836612
2020-02-10,1.8841957282237858
2020-02-11,1.9128177524499481
2020-02-12,1.9192514370358804
2020-02-13,1.906188545152653
2020-02-14,1.8955487689259591
2020-02-17,1.9063312527744962
2020-02-18,1.9021023651168152
2020-02-19,1.9157315447600904
2020-02-20,1.8954914383820807
2020-02-21,1.890619906461608
2020-02-26,1.820875696219133
2020-02-27,1.8149670093404877
2020-02-28,1.8410212314297185
2020-03-02,1.8682648502749357
2020-03-03,1.8552301323029718
2020-03-04,1.8741369246407844
2020-03-05,1.8240176370912042
2020-03-06,1.794111863223672
2020-03-09,1.6803591745544084
2020-03-10,1.7908141495050183
2020-03-11,1.7103100862885703
2020-03-12,1.5753264514695138
2020-03-13,1.759326388991095
2020-03-16,1.5982291072810417
2020-03-17,1.6873697545157063
2020-03-18,1.5837020163434827
2020-03-19,1.6411827036328184
2020-03-20,1.6338803792978833
2020-03-23,1.5947261338808638
2020-03-24,1.710911174087426
2020-03-25,1.7714424115692338
2020-03-26,1.7886898616931712
2020-03-27,1.7176962188438312
2020-03-30,1.7441714437032227
2020-03-31,1.7213753031852104
2020-04-01,1.6994822824575255
2020-04-02,1.7282794045432737
2020-04-03,1.6904883480575004
2020-04-06,1.7658149007110926
2020-04-07,1.7852399988132643
2020-04-08,1.8043822663161357
2020-04-09,1.7813485215170912
2020-04-13,1.7950906008581944
2020-04-14,1.8038340578590724
2020-04-15,1.7845653985600642
2020-04-16,1.7727997734718821
2020-04-17,1.7912742544538585
2020-04-20,1.7883133261532818
2020-04-22,1.8091660059498818
2020-04-23,1.7906438725153992
2020-04-24,1.7358509953381644
2020-04-27,1.7886850800107332
2020-04-28,1.8227214802054013
2020-04-29,1.8347031367041788
2020-04-30,1.7925856372177207
2020-05-04,1.7767208339459843
2020-05-05,1.7904487125904391
2020-05-06,1.7855876621325741
2020-05-07,1.775493867584712
2020-05-08,1.8067533290597346
2020-05-11,1.7864358586524034
2020-05-12,1.7738559158684972
2020-05-13,1.7775177236684438
2020-05-14,1.795758866046898
2020-05-15,1.7744949269133454
2020-05-18,1.8248211147172464
2020-05-19,1.8089394767669633
2020-05-20,1.814296186658261
2020-05-21,1.8321080001444017
2020-05-22,1.8149324462826115
2020-05-25,1.8564450218627777
2020-05-26,1.8424876262837486
2020-05-27,1.867053345134548
2020-05-28,1.8455401770577358
2020-05-29,1.8491791891777192
2020-06-01,1.8597834178578543
2020-06-02,1.881106807881928
2020-06-03,1.8923376931122982
2020-06-04,1.8909337610921084
2020-06-05,1.8920446861400135
2020-06-08,1.916717046972149
2020-06-09,1.8952351170360409
2020-06-10,1.8701756784180605
2020-06-12,1.852506909649294
2020-06-15,1.852789707206436
2020-06-16,1.8674139651201869
2020-06-17,1.8859949349460274
2020-06-18,1.885209342732629
2020-06-19,1.8853004139733374
2020-06-22,1.868648591397963
2020-06-23,1.8764496548204206
2020-06-24,1.8574221790875316
2020-06-25,1.8774046754323477
2020-06-26,1.850862684644377
2020-06-29,1.8752823715931966
2020-06-30,1.8639342366810707
2020-07-01,1.8762375498637303
2020-07-02,1.8730558393497745
2020-07-03,1.8768871542457575
2020-07-06,1.8965265961050712
2020-07-07,1.8772928820631503
2020-07-08,1.8975964990891336
2020-07-09,1.8851531214158914
2020-07-10,1.892638739005049
2020-07-13,1.8755285959235306
2020-07-14,1.8945707733780228
2020-07-15,1.9030989936710507
2020-07-16,1.885167291239767
2020-07-17,1.9085508097878825
2020-07-20,1.9165585408593868
2020-07-21,1.9084459299376508
2020-07-22,1.9050192664359136
2020-07-23,1.8834005953251292
2020-07-24,1.8875470658503852
2020-07-27,1.9079417720338054
2020-07-28,1.8987548879458478
2020-07-29,1.9115381919084533
2020-07-30,1.9008076017879185
2020-07-31,1.87966338887923
2020-08-03,1.8829981261936521
2020-08-04,1.868272781958451
2020-08-05,1.88825727714568
2020-08-06,1.8984363340722124
2020-08-07,1.8812016770450963
2020-08-10,1.889388138833358
2020-08-11,1.8754509952508478
2020-08-12,1.8773967131112301
2020-08-13,1.8617960602718737
2020-08-14,1.8752157344846205
2020-08-17,1.8570186639899728
2020-08-18,1.8861580538176113
2020-08-19,1.8694738701287932
2020-08-20,1.8773089251526405
2020-08-21,1.8766574693824012
2020-08-24,1.883726881031901
2020-08-25,1.8796332997892096
2020-08-26,1.8644178995971035
2020-08-27,1.8678085644542097
2020-08-28,1.8838548469872252
2020-08-31,1.8528648053999066
2020-09-01,1.8867391376831861
2020-09-02,1.878873792799732
2020-09-03,1.8661575814952926
2020-09-04,1.8737744162374605
2020-09-08,1.8612573973107294
2020-09-09,1.876518887221049
2020-09-10,1.8497064992852872
2020-09-11,1.8507621385819282
2020-09-14,1.8733012101449473
2020-09-15,1.870040099928
2020-09-16,1.862896128923765
2020-09-17,1.8683799186535914
2020-09-18,1.8494269313385567
2020-09-21,1.8407487207453492
2020-09-22,1.8490611608436174
2020-09-23,1.8343427277843896
2020-09-24,1.8529652286859442
2020-09-25,1.85171745772079
2020-09-28,1.8276633774438347
2020-09-29,1.8229664646900625
2020-09-30,1.8396451871587156
2020-10-01,1.8488185636111014
2020-10-02,1.831781444671467
2020-10-05,1.8575920108986774
2020-10-06,1.848570236328603
2020-10-07,1.8479645899382735
2020-10-08,1.87308694978532
2020-10-09,1.8623222185999064
2020-10-13,1.8717285277839535
2020-10-14,1.8766427785281588
2020-10-15,1.870083044356543
2020-10-16,1.8615310174775481
2020-10-19,1.8662173079406221
2020-10-20,1.8842631902493392
2020-10-21,1.878959256378916
2020-10-22,1.8902529381774267
2020-10-23,1.8788722077380693
2020-10-26,1.8759160814717784
2020-10-27,1.861612368654935
2020-10-28,1.821348766470773
2020-10-29,1.846353582074257
2020-10-30,1.8199698645280167
2020-11-03,1.8499717735333068
2020-11-04,1.8674852278506617
2020-11-05,1.8916170906833187
2020-11-06,1.8842114702188133
2020-11-09,1.905618419271125
2020-11-10,1.9116438840267156
2020-11-11,1.9013619464093119
2020-11-12,1.8759012522370355
2020-11-13,1.9007942000684057
2020-11-16,1.9116641119751372
2020-11-17,1.9127827857306379
2020-11-18,1.8970579769094567
2020-11-19,1.9021877320916225
2020-11-20,1.893913147416061
2020-11-23,1.9064929018627605
2020-11-24,1.9247262423563525
2020-11-25,1.9201123172889476
2020-11-26,1.916623027210596
2020-11-27,1.9169068093158756
2020-11-30,1.8987037035673415
2020-12-01,1.9235950833550746
2020-12-02,1.921831933874076
2020-12-03,1.9217543182986727
2020-12-04,1.9314697409215293
2020-12-07,1.92462883491915
2020-12-08,1.9239728283602422
2020-12-09,1.914629292645286
2020-12-10,1.9334184401235834
2020-12-11,1.9277491858740547
2020-12-14,1.9206194693160539
2020-12-15,1.933288515950868
2020-12-16,1.943332583073314
2020-12-17,1.9417779036101628
2020-12-18,1.9342839519745736
2020-12-21,1.9136751948660056
2020-12-22,1.9239811122578843
2020-12-23,1.9325037328416235
2020-12-28,1.9400909836333824
2020-12-29,1.9377753912646312
2020-12-30,1.9314634116281288
2021-01-04,1.9290160512341008
2021-01-05,1.932556885447228
2021-01-06,1.9281304200255636
