Date,Open,Low,High,Close,Qt
29/11/2006,41970.01,41970.01,41970.01,41970.01,41970.01
30/11/2006,41931.84,41931.84,41931.84,41931.84,41931.84
01/12/2006,41327.07,41327.07,41327.07,41327.07,41327.07
04/12/2006,42654.33,42654.33,42654.33,42654.33,42654.33
05/12/2006,43157.28,43157.28,43157.28,43157.28,43157.28
06/12/2006,43096.16,43096.16,43096.16,43096.16,43096.16
07/12/2006,42909.29,42909.29,42909.29,42909.29,42909.29
08/12/2006,42977.58,42977.58,42977.58,42977.58,42977.58
11/12/2006,43297.06,43297.06,43297.06,43297.06,43297.06
12/12/2006,43018.45,43018.45,43018.45,43018.45,43018.45
13/12/2006,43284.52,43284.52,43284.52,43284.52,43284.52
14/12/2006,43754.56,43754.56,43754.56,43754.56,43754.56
15/12/2006,43595.7,43595.7,43595.7,43595.7,43595.7
18/12/2006,43508.73,43508.73,43508.73,43508.73,43508.73
19/12/2006,43589.72,43589.72,43589.72,43589.72,43589.72
20/12/2006,43502.36,43502.36,43502.36,43502.36,43502.36
21/12/2006,43385.02,43385.02,43385.02,43385.02,43385.02
22/12/2006,43355.73,43355.73,43355.73,43355.73,43355.73
26/12/2006,43603.08,43603.08,43603.08,43603.08,43603.08
27/12/2006,44526.36,44526.36,44526.36,44526.36,44526.36
28/12/2006,44473.71,44473.71,44473.71,44473.71,44473.71
02/01/2007,45382.61,45382.61,45382.61,45382.61,45382.61
03/01/2007,44445.29,44445.29,44445.29,44445.29,44445.29
04/01/2007,44019.77,44019.77,44019.77,44019.77,44019.77
05/01/2007,42245.16,42245.16,42245.16,42245.16,42245.16
08/01/2007,42829.93,42829.93,42829.93,42829.93,42829.93
09/01/2007,42006.78,42006.78,42006.78,42006.78,42006.78
10/01/2007,42335.67,42335.67,42335.67,42335.67,42335.67
11/01/2007,42670.32,42670.32,42670.32,42670.32,42670.32
12/01/2007,43094.97,43094.97,43094.97,43094.97,43094.97
15/01/2007,42919.17,42919.17,42919.17,42919.17,42919.17
16/01/2007,42624.22,42624.22,42624.22,42624.22,42624.22
17/01/2007,42735.48,42735.48,42735.48,42735.48,42735.48
18/01/2007,42477.92,42477.92,42477.92,42477.92,42477.92
19/01/2007,43427.64,43427.64,43427.64,43427.64,43427.64
22/01/2007,43553.3,43553.3,43553.3,43553.3,43553.3
23/01/2007,44177.2,44177.2,44177.2,44177.2,44177.2
24/01/2007,44686.73,44686.73,44686.73,44686.73,44686.73
26/01/2007,44412.35,44412.35,44412.35,44412.35,44412.35
29/01/2007,43573.49,43573.49,43573.49,43573.49,43573.49
30/01/2007,44044.23,44044.23,44044.23,44044.23,44044.23
31/01/2007,44641.6,44641.6,44641.6,44641.6,44641.6
01/02/2007,44815.01,44815.01,44815.01,44815.01,44815.01
02/02/2007,44997.83,44997.83,44997.83,44997.83,44997.83
05/02/2007,45286.17,45286.17,45286.17,45286.17,45286.17
06/02/2007,45351.8,45351.8,45351.8,45351.8,45351.8
07/02/2007,44587.96,44587.96,44587.96,44587.96,44587.96
08/02/2007,44891.94,44891.94,44891.94,44891.94,44891.94
09/02/2007,44284.4,44284.4,44284.4,44284.4,44284.4
12/02/2007,43934.75,43934.75,43934.75,43934.75,43934.75
13/02/2007,45197.45,45197.45,45197.45,45197.45,45197.45
14/02/2007,45995.6,45995.6,45995.6,45995.6,45995.6
15/02/2007,45955.07,45955.07,45955.07,45955.07,45955.07
16/02/2007,45849.03,45849.03,45849.03,45849.03,45849.03
21/02/2007,46090.24,46090.24,46090.24,46090.24,46090.24
22/02/2007,46452.26,46452.26,46452.26,46452.26,46452.26
23/02/2007,46015.79,46015.79,46015.79,46015.79,46015.79
26/02/2007,46207.4,46207.4,46207.4,46207.4,46207.4
27/02/2007,43145.33,43145.33,43145.33,43145.33,43145.33
28/02/2007,43892.31,43892.31,43892.31,43892.31,43892.31
01/03/2007,43516.91,43516.91,43516.91,43516.91,43516.91
02/03/2007,42369.84,42369.84,42369.84,42369.84,42369.84
05/03/2007,41179.16,41179.16,41179.16,41179.16,41179.16
06/03/2007,43218.4,43218.4,43218.4,43218.4,43218.4
07/03/2007,42667.18,42667.18,42667.18,42667.18,42667.18
08/03/2007,43465.83,43465.83,43465.83,43465.83,43465.83
09/03/2007,44133.42,44133.42,44133.42,44133.42,44133.42
12/03/2007,44249.23,44249.23,44249.23,44249.23,44249.23
13/03/2007,42749.38,42749.38,42749.38,42749.38,42749.38
14/03/2007,43288.44,43288.44,43288.44,43288.44,43288.44
15/03/2007,43278.19,43278.19,43278.19,43278.19,43278.19
16/03/2007,42730.04,42730.04,42730.04,42730.04,42730.04
19/03/2007,43712.55,43712.55,43712.55,43712.55,43712.55
20/03/2007,44350.87,44350.87,44350.87,44350.87,44350.87
21/03/2007,45630.86,45630.86,45630.86,45630.86,45630.86
22/03/2007,45424.18,45424.18,45424.18,45424.18,45424.18
23/03/2007,45532.53,45532.53,45532.53,45532.53,45532.53
26/03/2007,45644.56,45644.56,45644.56,45644.56,45644.56
27/03/2007,45206.53,45206.53,45206.53,45206.53,45206.53
28/03/2007,44484.1,44484.1,44484.1,44484.1,44484.1
29/03/2007,45355.13,45355.13,45355.13,45355.13,45355.13
